Name,Amount Correct Noise,Amount Total Noise,Amount Correct Local,Amount Total Local,Total Percent Correct,Epochs
Amatrice,3587,3674,1902,1958,0.974609375,10
-33.1436--70.674896,5701,6099,3327,3629,0.9280427632,10
18.979361--155.667892,5612,6986,3425,5302,0.7354329427,10
37.0159--88.645897-minmag1,6082,7415,449,777,0.7972412109,10
39.5089--119.836601,7571,7626,2988,5174,0.824921875,10
36.956821--97.96302,6237,6521,4438,5255,0.9065047554,10
Oklahoma,3462,3762,1702,1870,0.9169034091,10
SouthAmerica,6890,7189,1931,2027,0.9571397569,10
-18.3708--70.341904-minmag1,6382,7585,562,607,0.84765625,10
17.048--61.764999-minmag1,5738,5822,498,834,0.9368990385,10
20.125248--155.777374,4872,7735,2167,4553,0.5728352865,10
-15.447148-167.203232-minmag1,6275,7218,807,974,0.8645019531,10
34.238831--117.658531,4258,5386,2563,5366,0.6343936012,10
40.723--111.907173,726,828,158,708,0.5755208333,10
47.344372--124.28746,6463,7137,1384,3103,0.7663085938,10
37.10865--97.872276-minmag1,4476,5384,4264,4856,0.853515625,10
17.969427--67.04422,1930,2519,3018,4649,0.6902901786,10
32.94194--97.578613,6249,6833,278,847,0.8498697917,10
-36.773102--73.209702,716,739,265,285,0.9580078125,10
35.13258--89.865173,4118,4505,119,615,0.8275390625,10
-30.8389--70.689102,7046,7274,874,918,0.966796875,10
40.176601--122.788399,7463,7498,503,4278,0.6764605978,10
46.551701--119.645317,3820,4445,875,1187,0.8336292614,10
-22.95196--68.178757,5659,6760,321,408,0.8342633929,10
48.010799--114.363297,6995,7074,171,2654,0.7366365132,10
-20.7771-167.240204,899,1012,776,1036,0.8178710938,10
38.290901--92.268402,6661,6933,169,747,0.8893229167,10
-27.5937--70.234703,7149,7456,1939,2272,0.9342105263,10
45.8881--123.960503,4696,7234,558,958,0.6413574219,10
