Name,Amount Correct Noise,Amount Total Noise,Amount Correct Local,Amount Total Local,Total Percent Correct,Epochs
everywhere-untested/47.534698--123.089401-minmag1,1511,1522,196,270,0.9525669642857143,10
everywhere-untested/37.0159--88.645897-minmag1,1378,1389,106,147,0.9661458333333334,10
everywhere-untested/47.922901--120.894302-minmag1,1514,1522,239,270,0.9782366071428571,10
everywhere-untested/14.84108--61.163799-minmag1,1160,1163,35,117,0.93359375,10
everywhere-untested/19.372066--155.45723-minmag1,542,543,992,993,0.9986979166666666,10
everywhere-untested/37.123501--98.095131-minmag1,1376,1407,854,897,0.9678819444444444,10
everywhere-untested/-18.3708--70.341904-minmag1,1419,1423,106,113,0.9928385416666666,10
everywhere-untested/33.539398--116.592201-minmag1,1436,1463,814,841,0.9765625,10
everywhere-untested/-33.391899--70.738098-minmag1,1418,1420,112,116,0.99609375,10
everywhere-untested/33.539501--116.591904-minmag1,1474,1517,961,1043,0.951171875,10
everywhere-untested/18.979361--155.667892-minmag1,1385,1420,1103,1140,0.971875,10
everywhere-untested/-35.009899--71.930298-minmag1,200,204,300,308,0.9765625,10
everywhere-untested/33.210098--116.409103-minmag1,1291,1296,997,1008,0.9930555555555556,10
everywhere-untested/33.029999--116.085297-minmag1,1401,1412,887,892,0.9930555555555556,10
everywhere-untested/37.863895--122.219063-minmag1,251,411,671,869,0.7203125,10
everywhere-untested/37.10865--97.872276-minmag1,1038,1076,919,972,0.95556640625,10
everywhere-untested/46.925701--123.916-minmag1,1350,1367,71,169,0.9251302083333334,10
everywhere-untested/19.460171--155.27533-minmag1,1202,1223,1028,1081,0.9678819444444444,10
everywhere-untested/33.357243--116.85955-minmag1,807,969,142,823,0.5295758928571429,10
everywhere-untested/32.302898--115.075996-minmag1,1250,1316,889,988,0.9283854166666666,10
everywhere-untested/-33.259102--71.137703-minmag1,1401,1412,121,124,0.9908854166666666,10
everywhere-untested/46.5578--119.5345-minmag1,749,782,203,242,0.9296875,10
everywhere-untested/19.493172--155.386017-minmag1,1453,1455,1103,1105,0.9984375,10
everywhere-untested/46.551701--119.645317-minmag1,761,774,229,250,0.966796875,10
everywhere-untested/38.428562--122.767387-minmag1,445,559,562,721,0.78671875,10
everywhere-untested/45.4865--123.978104-minmag1,1469,1469,0,67,0.9563802083333334,10
everywhere-untested/37.226719--97.970947-minmag1,806,838,918,954,0.9620535714285714,10
everywhere-untested/32.759655--115.732071-minmag1,1333,1476,159,828,0.6475694444444444,10
everywhere-untested/33.292229--115.977844-minmag1,602,645,396,635,0.7796875,10
everywhere-untested/33.495499--116.583397-minmag1,1531,1533,1024,1027,0.998046875,10
everywhere-untested/32.840736--117.249695-minmag1,912,992,483,800,0.7784598214285714,10
everywhere-untested/43.701279--124.107513,1072,1084,35,196,0.86484375,10
everywhere-untested/33.539902--116.591202-minmag1,1489,1517,1008,1043,0.975390625,10
everywhere-untested/33.260201--116.322304-minmag1,1465,1499,1017,1061,0.96953125,10
everywhere-untested/47.344372--124.28746-minmag1,1332,1339,166,197,0.9752604166666666,10
everywhere-untested/33.260193--116.322289-minmag1,409,742,546,794,0.6217447916666666,10
