Name,Amount Correct Noise,Amount Total Noise,Amount Correct Local,Amount Total Local,Total Percent Correct,Epochs
everywhere-untested/33.6078--116.698997-minmag1,918,994,961,1054,0.91748046875,10
everywhere-untested/39.0131--119.937599,1360,1385,43,407,0.7829241071428571,10
everywhere-untested/40.701328--111.866829,130,132,115,124,0.95703125,10
everywhere-untested/-33.1436--70.674896,1102,1123,642,669,0.9732142857142857,10
everywhere-untested/33.607899--116.698898-minmag1,878,909,301,371,0.92109375,10
everywhere-untested/36.724602--116.975899,1128,1360,430,944,0.6762152777777778,10
everywhere-untested/39.5089--119.836601,1523,1524,1034,1036,0.998828125,10
everywhere-untested/33.607101--116.699799-minmag1,1275,1328,909,976,0.9479166666666666,10
everywhere-untested/14.84108--61.163799-minmag1,1156,1163,42,117,0.9359375,10
everywhere-untested/35.230999--89.983002,345,365,95,147,0.859375,10
everywhere-untested/36.07--91.153999,1358,1360,13,176,0.892578125,10
everywhere-untested/41.195831--111.941673,115,118,132,138,0.96484375,10
everywhere-untested/12.146833--86.247169-minmag1,369,405,269,363,0.8307291666666666,10
everywhere-untested/17.048--61.764999-minmag1,1113,1119,140,161,0.97890625,10
everywhere-untested/32.9114--117.061897-minmag1,1103,1115,117,165,0.953125,10
everywhere-untested/38.3489--115.585403-minmag1,1360,1373,100,163,0.9505208333333334,10
everywhere-untested/33.6078--116.698997-minmag1,906,994,962,1054,0.912109375,10
everywhere-untested/39.0131--119.937599,1367,1385,40,407,0.78515625,10
everywhere-untested/40.701328--111.866829,120,132,121,124,0.94140625,10
everywhere-untested/-33.1436--70.674896,1108,1123,633,669,0.9715401785714286,10
everywhere-untested/33.607899--116.698898-minmag1,866,909,299,371,0.91015625,10
everywhere-untested/36.724602--116.975899,1041,1360,526,944,0.6801215277777778,10
everywhere-untested/39.5089--119.836601,1522,1524,1033,1036,0.998046875,10
everywhere-untested/33.607101--116.699799-minmag1,1265,1328,893,976,0.9366319444444444,10
everywhere-untested/14.84108--61.163799-minmag1,1160,1163,41,117,0.93828125,10
everywhere-untested/35.230999--89.983002,351,365,93,147,0.8671875,10
everywhere-untested/36.07--91.153999,1355,1360,11,176,0.8893229166666666,10
everywhere-untested/41.195831--111.941673,116,118,138,138,0.9921875,10
everywhere-untested/12.146833--86.247169-minmag1,362,405,277,363,0.83203125,10
everywhere-untested/17.048--61.764999-minmag1,1114,1119,138,161,0.978125,10
everywhere-untested/32.9114--117.061897-minmag1,1110,1115,119,165,0.96015625,10
everywhere-untested/38.3489--115.585403-minmag1,1365,1373,93,163,0.94921875,10
everywhere-untested/33.6078--116.698997-minmag1,915,994,961,1054,0.916015625,10
everywhere-untested/39.0131--119.937599,1359,1385,49,407,0.7857142857142857,10
everywhere-untested/40.701328--111.866829,131,132,118,124,0.97265625,10
everywhere-untested/-33.1436--70.674896,1105,1123,639,669,0.9732142857142857,10
everywhere-untested/33.607899--116.698898-minmag1,860,909,312,371,0.915625,10
everywhere-untested/36.724602--116.975899,1112,1360,469,944,0.6861979166666666,10
everywhere-untested/39.5089--119.836601,1522,1524,1035,1036,0.998828125,10
everywhere-untested/33.607101--116.699799-minmag1,1272,1328,896,976,0.9409722222222222,10
everywhere-untested/14.84108--61.163799-minmag1,1159,1163,39,117,0.9359375,10
everywhere-untested/35.230999--89.983002,348,365,93,147,0.861328125,10
everywhere-untested/36.07--91.153999,1353,1360,12,176,0.888671875,10
everywhere-untested/41.195831--111.941673,114,118,134,138,0.96875,10
everywhere-untested/12.146833--86.247169-minmag1,348,405,277,363,0.8138020833333334,10
everywhere-untested/17.048--61.764999-minmag1,1115,1119,139,161,0.9796875,10
everywhere-untested/32.9114--117.061897-minmag1,1108,1115,110,165,0.9515625,10
everywhere-untested/38.3489--115.585403-minmag1,1364,1373,101,163,0.9537760416666666,10
everywhere-untested/33.6078--116.698997-minmag1,915,994,965,1054,0.91796875,10
everywhere-untested/39.0131--119.937599,1367,1385,30,407,0.7795758928571429,10
everywhere-untested/40.701328--111.866829,127,132,119,124,0.9609375,10
everywhere-untested/-33.1436--70.674896,1105,1123,636,669,0.9715401785714286,10
everywhere-untested/33.607899--116.698898-minmag1,867,909,306,371,0.91640625,10
everywhere-untested/36.724602--116.975899,1144,1360,463,944,0.6974826388888888,10
everywhere-untested/39.5089--119.836601,1523,1524,1035,1036,0.99921875,10
everywhere-untested/33.607101--116.699799-minmag1,1260,1328,892,976,0.9340277777777778,10
everywhere-untested/14.84108--61.163799-minmag1,1158,1163,45,117,0.93984375,10
everywhere-untested/35.230999--89.983002,351,365,95,147,0.87109375,10
everywhere-untested/36.07--91.153999,1358,1360,3,176,0.8860677083333334,10
everywhere-untested/41.195831--111.941673,116,118,133,138,0.97265625,10
everywhere-untested/12.146833--86.247169-minmag1,365,405,274,363,0.83203125,10
everywhere-untested/17.048--61.764999-minmag1,1114,1119,138,161,0.978125,10
everywhere-untested/32.9114--117.061897-minmag1,1104,1115,124,165,0.959375,10
everywhere-untested/38.3489--115.585403-minmag1,1365,1373,100,163,0.9537760416666666,10
everywhere-untested/33.6078--116.698997-minmag1,924,994,966,1054,0.9228515625,10
everywhere-untested/33.607899--116.698898-minmag1,858,909,308,371,0.9109375,10
everywhere-untested/36.724602--116.975899,1114,1360,463,944,0.6844618055555556,10
everywhere-untested/33.607101--116.699799-minmag1,1288,1328,897,976,0.9483506944444444,10
everywhere-untested/14.84108--61.163799-minmag1,1159,1163,38,117,0.93515625,10
everywhere-untested/35.230999--89.983002,338,365,84,147,0.82421875,10
everywhere-untested/36.07--91.153999,1355,1360,10,176,0.888671875,10
everywhere-untested/12.146833--86.247169-minmag1,355,405,279,363,0.8255208333333334,10
everywhere-untested/38.3489--115.585403-minmag1,1361,1373,98,163,0.9498697916666666,10
everywhere-untested/44.3951--110.576202,1487,1539,924,1021,0.941796875,10
everywhere-untested/32.004799--115.947998,90,122,884,902,0.951171875,10
everywhere-untested/15.438--61.421001,531,553,185,215,0.9322916666666666,10
everywhere-untested/47.762299--127.757896,1072,1079,154,201,0.9578125,10
everywhere-untested/47.620701--122.351402,1181,1181,0,99,0.92265625,10
everywhere-untested/33.607399--116.699501-minmag1,817,875,827,917,0.9174107142857143,10
everywhere-untested/-22.6129-167.446503,183,184,62,72,0.95703125,10
