Name,Amount Correct Noise,Amount Total Noise,Amount Correct Local,Amount Total Local,Total Percent Correct,Epochs
everywhere-untested/18.468--67.111099,66,66,701,702,0.9986979167,10
everywhere-untested/33.537292--116.592529,280,847,707,945,0.55078125,10
everywhere-untested/18.468--67.111099,66,66,232,702,0.3880208333,10
everywhere-untested/18.468--67.111099,64,66,701,702,0.99609375,10
everywhere-untested/33.537292--116.592529,240,847,758,945,0.5569196429,10
everywhere-untested/42.836498--124.5634,1362,1379,94,157,0.9479166667,10
everywhere-untested/33.539799--116.591499,1391,1449,1061,1111,0.9578125,10
everywhere-untested/37.297382--97.998001,520,573,926,963,0.94140625,10
everywhere-untested/37.153419--97.758972,56,78,935,946,0.9677734375,10
everywhere-untested/32.759655--115.732071,801,1458,845,1102,0.64296875,10
everywhere-untested/40.706799--119.467697,1239,1241,2,295,0.8079427083,10
everywhere-untested/33.059166--116.569328,488,835,849,957,0.74609375,10
everywhere-untested/45.885201--121.459702,1374,1410,191,382,0.8733258929,10
everywhere-untested/-34.7924--70.781403,1385,1390,136,146,0.990234375,10
everywhere-untested/-33.391899--70.738098,1283,1286,243,250,0.9934895833,10
everywhere-untested/37.672501--113.071487,1155,1158,370,378,0.9928385417,10
everywhere-untested/33.423874--115.686996,883,891,13,133,0.875,10
everywhere-untested/46.277802--124.053596,1492,1493,260,299,0.9776785714,10
everywhere-untested/48.264099--122.096001,1360,1434,318,614,0.8193359375,10
everywhere-untested/32.929722--97.539719,1420,1431,66,105,0.9674479167,10
everywhere-untested/14.84108--61.163799,1281,1304,63,232,0.875,10
everywhere-untested/37.863895--122.219063,139,355,783,925,0.7203125,10
everywhere-untested/47.922901--120.894302,1476,1481,283,311,0.9815848214,10
everywhere-untested/37.123501--98.095131,1360,1390,873,914,0.9691840278,10
everywhere-untested/47.534698--123.089401,1363,1405,209,387,0.8772321429,10
everywhere-untested/-28.204599--71.073898,1333,1338,192,198,0.9928385417,10
everywhere-untested/47.344372--124.28746,1401,1428,569,620,0.9619140625,10
everywhere-untested/33.274811--115.52137,717,1010,898,1038,0.7885742188,10
everywhere-untested/46.5578--119.5345,893,949,793,843,0.9408482143,10
everywhere-untested/33.097599--115.530602,256,256,0,0,1,10
everywhere-untested/16.916298--89.866737,860,873,66,151,0.904296875,10
everywhere-untested/37.368--117.972198,1407,1420,11,628,0.6923828125,10
everywhere-untested/37.10865--97.872276,1084,1116,874,932,0.9560546875,10
everywhere-untested/32.94194--97.578613,1350,1368,153,168,0.978515625,10
everywhere-untested/32.840736--117.249695,1028,1041,707,1007,0.8471679688,10
everywhere-untested/46.43774--119.355667,0,0,768,768,1,10
everywhere-untested/39.207699--120.125999,1382,1524,676,1036,0.80390625,10
everywhere-untested/33.6689--116.673798,1280,1280,0,0,1,10
everywhere-untested/37.815014--87.592155,860,888,87,136,0.9248046875,10
everywhere-untested/48.370701--124.589104,1275,1373,227,419,0.8381696429,10
everywhere-untested/45.454971--123.830704,1363,1373,101,163,0.953125,10
everywhere-untested/37.29977--97.572701,1415,1428,859,876,0.9869791667,10
everywhere-untested/40.176601--122.788399,1464,1465,786,839,0.9765625,10
everywhere-untested/33.539902--116.591202,1456,1470,1044,1090,0.9765625,10
everywhere-untested/33.042236--116.917252,640,809,663,983,0.7271205357,10
everywhere-untested/32.829922--116.6418,538,904,560,888,0.6127232143,10
everywhere-untested/38.263695--122.503441,68,463,745,817,0.63515625,10
everywhere-untested/-22.95196--68.178757,1205,1211,59,69,0.9875,10
everywhere-untested/46.556599--122.567299,1502,1546,423,502,0.9399414063,10
everywhere-untested/47.21278--124.204506,1374,1434,269,358,0.9168526786,10
everywhere-untested/46.952473--124.159492,1305,1335,76,201,0.8990885417,10
everywhere-untested/43.090302--124.409302,1343,1376,62,160,0.9147135417,10
everywhere-untested/48.7201--122.706299,1320,1347,93,189,0.919921875,10
everywhere-untested/17.552-120.455002,793,812,159,212,0.9296875,10
everywhere-untested/38.02515--122.096146,628,834,819,958,0.8074776786,10
everywhere-untested/38.559807--122.65844,569,705,172,319,0.7236328125,10
everywhere-untested/37.947201--114.491402,1317,1370,51,678,0.66796875,10
everywhere-untested/-20.7771-167.240204,115,118,128,138,0.94921875,10
everywhere-untested/38.290901--92.268402,1387,1387,140,149,0.994140625,10
everywhere-untested/-32.763699--70.550797,1405,1409,379,383,0.9955357143,10
everywhere-untested/-27.5937--70.234703,1354,1372,400,420,0.9787946429,10
everywhere-untested/45.8881--123.960503,1348,1352,161,184,0.982421875,10
NEXT,,,,,,
