Name,Amount Correct Noise,Amount Total Noise,Amount Correct Local,Amount Total Local,Total Percent Correct,Epochs
everywhere/33.210098--116.409103,1413,1416,1142,1144,0.998046875,5
everywhere/19.504322--155.702744,909,940,828,980,0.9046875,5
everywhere/41.958199--119.790497,1440,1449,262,343,0.9497767857,5
everywhere/35.97084--96.80481,1352,1488,541,688,0.8699448529,5
everywhere/18.979361--155.667892,1336,1380,1030,1052,0.9728618421,5
everywhere/36.956821--97.96302,1255,1272,1019,1032,0.9869791667,5
everywhere/33.6688--116.672997,1418,1421,878,883,0.9965277778,5
everywhere/33.5397--116.591698,1457,1472,1065,1088,0.98515625,5
everywhere/-35.009899--71.930298,193,196,186,188,0.9869791667,5
everywhere/32.302898--115.075996,1361,1412,896,1020,0.9280427632,5
everywhere/61.142601--150.2164,1313,1426,940,1134,0.880078125,5
everywhere/33.509701--116.561501,1555,1560,1124,1128,0.9966517857,5
everywhere/20.125248--155.777374,1526,1528,904,904,0.9991776316,5
everywhere/47.749191--124.175438,1363,1384,119,152,0.96484375,5
everywhere/32.891998--116.422302,1491,1492,938,940,0.9987664474,5
everywhere/37.226719--97.970947,898,933,825,859,0.9614955357,5
everywhere/33.457699--117.170799,1190,1203,1084,1101,0.9869791667,5
everywhere/33.260201--116.322304,1506,1508,1052,1052,0.99921875,5
everywhere/33.651501--116.739403,1342,1358,930,946,0.9861111111,5
everywhere/33.292229--115.977844,628,693,786,843,0.9205729167,5
everywhere/45.309509--123.822891,0,0,128,128,1,5
everywhere/33.539501--116.591904,1447,1565,824,1123,0.8448660714,5
everywhere/32.457901--114.704903,1037,1099,311,437,0.8776041667,5
everywhere/37.914547--122.376755,593,940,442,852,0.5775669643,5
everywhere/17.969427--67.04422,492,507,891,901,0.9822443182,5
everywhere/28.2502--16.5082,1365,1418,283,374,0.9196428571,5
everywhere/33.495499--116.583397,1562,1568,1120,1120,0.9977678571,5
everywhere/32.820301--117.056702,986,989,1058,1059,0.998046875,5
everywhere/39.539101--119.813797,1360,1363,425,429,0.99609375,5
everywhere/37.471775--122.35714,148,391,829,889,0.76328125,5
everywhere/46.925701--123.916,1495,1524,308,396,0.9390625,5
everywhere/19.480289--154.888565,1452,1454,978,978,0.9991776316,5
everywhere/37.225616--98.06472,1528,1541,346,379,0.9760416667,5
everywhere/33.539299--116.592598,184,215,1026,1065,0.9453125,5
everywhere/19.164518--155.749054,1433,1465,244,327,0.9358258929,5
everywhere/46.551701--119.645317,901,910,227,242,0.9791666667,5
everywhere/33.144199--116.119301,1313,1315,1115,1117,0.9983552632,5
everywhere/38.259876--122.607452,211,473,630,807,0.65703125,5
everywhere/19.68466--155.835693,1380,1446,738,858,0.9192708333,5
everywhere/37.351501--121.925262,1317,1333,743,843,0.9466911765,5
everywhere/45.4865--123.978104,1492,1508,36,156,0.9182692308,5
everywhere/37.044071--97.764748,1505,1516,506,532,0.9819335938,5
everywhere/-31.203699--71.000298,1513,1516,145,148,0.9963942308,5
everywhere/37.136131--97.618317,110,119,636,649,0.9713541667,5
