Name,Amount Correct Noise,Amount Total Noise,Amount Correct Local,Amount Total Local,Total Percent Correct,Epochs
everywhere-97/AmatriceQuakes,665,666,358,358,0.9990234375,10
everywhere-97/39.0131--119.937599,769,1186,175,350,0.6145833333333334,10
everywhere-97/18.468--67.111099,45,45,467,467,1.0,10
everywhere-97/-33.1436--70.674896,938,966,552,570,0.9700520833333334,10
everywhere-97/33.210098--116.409103,1411,1416,1144,1144,0.998046875,10
everywhere-97/33.537292--116.592529,199,727,663,809,0.5611979166666666,10
everywhere-97/18.979361--155.667892,1087,1159,885,889,0.962890625,10
everywhere-97/37.0159--88.645897-minmag1,1327,1389,133,147,0.9505208333333334,10
everywhere-97/39.5089--119.836601,1524,1524,1036,1036,1.0,10
everywhere-97/36.956821--97.96302,1106,1124,910,924,0.984375,10
everywhere-97/OklahomaQuakes,674,680,341,344,0.9912109375,10
everywhere-97/18.018099--66.022209,229,229,283,283,1.0,10
everywhere-97/33.6688--116.672997,1261,1261,786,787,0.99951171875,10
everywhere-97/47.922901--120.894302-minmag1,1291,1306,216,230,0.9811197916666666,10
everywhere-97/19.372066--155.45723-minmag1,543,543,989,993,0.9973958333333334,10
everywhere-97/33.539398--116.592201,1458,1481,1031,1079,0.972265625,10
everywhere-97/-34.7924--70.781403,1382,1390,145,146,0.994140625,10
everywhere-97/33.5397--116.591698,1344,1472,1085,1088,0.948828125,10
everywhere-97/37.123501--98.095131-minmag1,1182,1250,785,798,0.96044921875,10
everywhere-97/SouthAmerica,1182,1200,333,336,0.986328125,10
everywhere-97/-33.391899--70.738098,1281,1286,248,250,0.9954427083333334,10
everywhere-97/-18.3708--70.341904-minmag1,1414,1423,112,113,0.9934895833333334,10
everywhere-97/37.672501--113.071487,1118,1158,372,378,0.9700520833333334,10
everywhere-97/33.509701--116.561501,1471,1479,1080,1081,0.996484375,10
everywhere-97/17.048--61.764999-minmag1,848,891,125,133,0.9501953125,10
everywhere-97/32.9114--117.061897-minmag1,800,890,114,134,0.892578125,10
everywhere-97/20.125248--155.777374,1281,1281,766,767,0.99951171875,10
everywhere-97/46.277802--124.053596,1239,1276,239,260,0.9622395833333334,10
everywhere-97/33.539398--116.592201-minmag1,1271,1293,737,755,0.98046875,10
everywhere-97/47.922901--120.894302,1242,1267,258,269,0.9765625,10
everywhere-97/32.891998--116.422302,1250,1251,796,797,0.9990234375,10
everywhere-97/-33.391899--70.738098-minmag1,1414,1420,116,116,0.99609375,10
everywhere-97/33.539501--116.591904-minmag1,1435,1517,989,1043,0.946875,10
everywhere-97/-15.447148-167.203232-minmag1,1335,1350,177,186,0.984375,10
everywhere-97/34.238831--117.658531,955,1022,993,1026,0.951171875,10
everywhere-97/33.029999--116.085297,1453,1458,1102,1102,0.998046875,10
everywhere-97/33.457699--117.170799,1060,1063,973,985,0.99267578125,10
everywhere-97/33.599991--117.195427,1466,1466,1094,1094,1.0,10
everywhere-97/37.123501--98.095131,1200,1230,784,818,0.96875,10
everywhere-97/18.979361--155.667892-minmag1,1350,1420,1136,1140,0.97109375,10
everywhere-97/-28.204599--71.073898,1325,1338,198,198,0.9915364583333334,10
everywhere-97/47.344372--124.28746,1380,1428,587,620,0.96044921875,10
everywhere-97/33.260201--116.322304,1501,1508,1052,1052,0.997265625,10
everywhere-97/-35.009899--71.930298-minmag1,198,204,305,308,0.982421875,10
everywhere-97/37.012882--97.477806,1408,1464,1071,1096,0.968359375,10
everywhere-97/33.210098--116.409103-minmag1,1146,1153,885,895,0.99169921875,10
everywhere-97/-32.558102--70.928902,1415,1450,79,86,0.97265625,10
everywhere-97/33.029999--116.085297-minmag1,1253,1257,788,791,0.99658203125,10
everywhere-97/33.651501--116.739403,1048,1201,831,847,0.91748046875,10
everywhere-97/37.10865--97.872276-minmag1,1030,1076,930,972,0.95703125,10
everywhere-97/18.4709--66.740303-minmag1,61,61,450,451,0.998046875,10
everywhere-97/17.969427--67.04422,381,384,633,640,0.990234375,10
everywhere-97/35.961155--96.756004,1391,1449,73,87,0.953125,10
everywhere-97/19.460171--155.27533-minmag1,1057,1081,931,967,0.970703125,10
everywhere-97/-33.9967--71.590202,1328,1359,175,177,0.978515625,10
everywhere-97/32.94194--97.578613,1344,1368,159,168,0.978515625,10
everywhere-97/-33.493599--70.510201,814,816,138,208,0.9296875,10
everywhere-97/33.495499--116.583397,1482,1488,1072,1072,0.99765625,10
everywhere-97/32.820301--117.056702,989,989,1058,1059,0.99951171875,10
everywhere-97/39.539101--119.813797,1166,1169,366,367,0.9973958333333334,10
everywhere-97/-33.259102--71.137703-minmag1,1410,1412,124,124,0.9986979166666666,10
everywhere-97/19.493172--155.386017-minmag1,1453,1455,1105,1105,0.99921875,10
everywhere-97/19.480289--154.888565,1216,1217,830,831,0.9990234375,10
everywhere-97/37.205967--97.9133,78,79,423,433,0.978515625,10
