,cluster_id,clusters_prob,end_time,start_time,utc_timestamp
0,5,"[9.0407959e-11, 6.9521932e-12, 0.0011015952, 0.0064876373, 4.8003456e-20, 0.99172145]",2016-08-01T00:00:10.000000Z,2016-08-01T00:00:00.000000Z,[  1.47000960e+09]
1,1,"[0.00041786136, 0.48719606, 0.001250308, 0.00070857978, 0.0032014521, 0.46180427]",2016-08-01T00:00:21.000000Z,2016-08-01T00:00:11.000000Z,[  1.47000962e+09]
2,2,"[1.5285255e-05, 0.0093934024, 0.58291519, 0.018456373, 0.076086693, 0.01065269]",2016-08-01T00:00:32.000000Z,2016-08-01T00:00:22.000000Z,[  1.47000963e+09]
3,2,"[2.1027962e-08, 5.1307361e-06, 0.98768371, 0.0052133608, 0.0022513345, 0.00010028528]",2016-08-01T00:00:43.000000Z,2016-08-01T00:00:33.000000Z,[  1.47000964e+09]
4,5,"[3.8046019e-06, 0.0015491283, 0.0072864047, 0.0071795275, 0.0026152113, 0.53637761]",2016-08-01T00:01:16.000000Z,2016-08-01T00:01:06.000000Z,[  1.47000967e+09]
5,5,"[1.6521481e-05, 0.0001475421, 0.003409581, 0.0042792084, 0.47615713, 0.47916958]",2016-08-01T00:01:05.000000Z,2016-08-01T00:00:55.000000Z,[  1.47000966e+09]
6,1,"[1.3130673e-05, 0.63618511, 9.7089833e-07, 9.2159844e-08, 3.2651602e-07, 0.30941767]",2016-08-01T00:01:27.000000Z,2016-08-01T00:01:17.000000Z,[  1.47000968e+09]
7,5,"[9.1947904e-06, 0.011048281, 3.5360998e-07, 0.00063770526, 0.0025741162, 0.98558122]",2016-08-01T00:02:22.000000Z,2016-08-01T00:02:12.000000Z,[  1.47000974e+09]
8,2,"[1.1996282e-05, 9.783273e-05, 0.9619894, 0.010983419, 0.018397484, 0.0082557555]",2016-08-01T00:02:33.000000Z,2016-08-01T00:02:23.000000Z,[  1.47000975e+09]
9,2,"[0.0051274137, 0.010933789, 0.79718465, 0.082620613, 0.0054293992, 0.00011358774]",2016-08-01T00:02:44.000000Z,2016-08-01T00:02:34.000000Z,[  1.47000976e+09]
10,5,"[2.4288378e-05, 0.01409791, 2.3283509e-07, 1.5838359e-06, 5.1343231e-05, 0.97967911]",2016-08-01T00:02:55.000000Z,2016-08-01T00:02:45.000000Z,[  1.47000977e+09]
11,5,"[8.3459809e-06, 0.035015587, 2.8539889e-05, 0.002429571, 0.042103071, 0.9152087]",2016-08-01T00:03:06.000000Z,2016-08-01T00:02:56.000000Z,[  1.47000978e+09]
12,5,"[1.0419676e-06, 0.00076754298, 1.6771501e-05, 1.4589775e-08, 0.086367905, 0.91147906]",2016-08-01T00:03:17.000000Z,2016-08-01T00:03:07.000000Z,[  1.47000979e+09]
13,1,"[0.00069408555, 0.50728065, 3.2332657e-09, 4.1320254e-06, 3.449409e-06, 0.41926715]",2016-08-01T00:03:28.000000Z,2016-08-01T00:03:18.000000Z,[  1.47000980e+09]
14,2,"[0.0001314152, 0.0011934841, 0.74363196, 0.080273308, 0.13025315, 0.043763921]",2016-08-01T00:03:50.000000Z,2016-08-01T00:03:40.000000Z,[  1.47000982e+09]
15,2,"[0.071290024, 0.2718797, 0.36554834, 0.00033030316, 0.061700355, 0.22871253]",2016-08-01T00:03:39.000000Z,2016-08-01T00:03:29.000000Z,[  1.47000981e+09]
16,3,"[6.0558978e-05, 0.0021846595, 0.12289216, 0.46092823, 0.021275017, 0.048593897]",2016-08-01T00:04:01.000000Z,2016-08-01T00:03:51.000000Z,[  1.47000984e+09]
17,3,"[9.1272989e-09, 2.9592709e-06, 0.39347073, 0.56160504, 0.00068391068, 0.044200979]",2016-08-01T00:04:12.000000Z,2016-08-01T00:04:02.000000Z,[  1.47000985e+09]
18,5,"[1.3176853e-07, 0.003789058, 0.07040032, 0.021782184, 0.078142054, 0.65717173]",2016-08-01T00:04:23.000000Z,2016-08-01T00:04:13.000000Z,[  1.47000986e+09]
19,5,"[7.3183637e-06, 0.0045121117, 0.0009114038, 0.00028562563, 0.00013980469, 0.96667528]",2016-08-01T00:05:40.000000Z,2016-08-01T00:05:30.000000Z,[  1.47000994e+09]
20,5,"[2.9990343e-08, 5.8429476e-05, 1.5716436e-09, 0.00029777907, 2.1054961e-05, 0.99958152]",2016-08-01T00:05:51.000000Z,2016-08-01T00:05:41.000000Z,[  1.47000995e+09]
21,3,"[1.2952989e-07, 1.6853839e-06, 0.12657958, 0.87121785, 0.00078805344, 0.0008877815]",2016-08-01T00:06:02.000000Z,2016-08-01T00:05:52.000000Z,[  1.47000996e+09]
22,4,"[0.11682995, 0.083321407, 0.024387229, 0.021376768, 0.3669287, 0.29567739]",2016-08-01T00:06:13.000000Z,2016-08-01T00:06:03.000000Z,[  1.47000997e+09]
23,3,"[0.0013041754, 0.0011791673, 0.3084414, 0.31911296, 0.061513066, 0.15277059]",2016-08-01T00:06:24.000000Z,2016-08-01T00:06:14.000000Z,[  1.47000998e+09]
24,4,"[0.0035715743, 0.0039927955, 0.10170761, 0.035991877, 0.47385287, 0.088913582]",2016-08-01T00:06:35.000000Z,2016-08-01T00:06:25.000000Z,[  1.47000999e+09]
